ticker,sector,high1_date,high1,high2_date,high2,rsi1,rsi2,entry_date,entry_close,exit_date,exit_close,stock_60d_return,spy_entry_close,spy_exit_date,spy_exit_close,spy_60d_return,pair_pnl
ROST,Consumer Cyclical,2008-05-15,9.24,2008-06-25,9.68,71.75805275766572,56.91321041764376,2008-07-02,9.05,2008-09-26,9.22,0.018784530386740217,126.18,2008-09-26,120.85,-0.042241242669202816,-0.06102577305594303
EW,Healthcare,2008-04-23,4.7775,2008-06-25,5.2909,86.9264225632567,71.83393825572512,2008-07-02,5.1742,2008-09-26,4.8717,-0.05846314406091768,126.18,2008-09-26,120.85,-0.042241242669202816,0.016221901391714866
WMB,Energy,2008-04-28,30.48,2008-06-25,32.33,72.86842328436704,58.88116132277689,2008-07-02,30.55,2008-09-26,20.22,-0.33813420621931267,126.18,2008-09-26,120.85,-0.042241242669202816,0.29589296355010986
HAS,Consumer Cyclical,2008-05-02,36.65,2008-06-25,38.83,73.49954973063637,56.44383694881212,2008-07-02,34.48,2008-09-26,35.66,0.034222737819025406,126.18,2008-09-26,120.85,-0.042241242669202816,-0.07646398048822822
FE,Utilities,2008-05-02,79.02,2008-06-25,83.49,72.72387954060638,67.24098532924953,2008-07-02,81.57,2008-09-26,68.64,-0.15851415961750637,126.18,2008-09-26,120.85,-0.042241242669202816,0.11627291694830355
SLB,Energy,2008-04-21,107.22,2008-07-02,111.95,79.36890556054267,48.78122741240037,2008-07-10,99.23,2008-10-03,72.53,-0.26907185327018046,125.3,2008-10-03,110.34,-0.11939345570630477,0.1496783975638757
CTRA,Energy,2008-04-17,15.62,2008-07-02,18.23,70.24276945042146,52.01239166738607,2008-07-10,15.24,2008-10-03,7.25,-0.5242782152230971,125.3,2008-10-03,110.34,-0.11939345570630477,0.40488475951679237
D,Utilities,2008-05-02,45.93,2008-07-02,48.5,71.84386012857641,56.50986796476802,2008-07-10,47.13,2008-10-03,41.88,-0.11139401654996817,125.3,2008-10-03,110.34,-0.11939345570630477,-0.007999439156336607
HAL,Energy,2008-04-22,48.33,2008-07-02,55.38,86.49856654130264,61.859857512026316,2008-07-10,47.99,2008-10-03,26.8,-0.441550322983955,125.3,2008-10-03,110.34,-0.11939345570630477,0.32215686727765025
EXC,Utilities,2008-04-18,62.78,2008-07-07,65.7,70.07807554707622,53.823475592485735,2008-07-14,63.03,2008-10-07,38.15,-0.3947326669839759,122.72,2008-10-07,100.03,-0.18489243807040412,0.2098402289135718
AIZ,Financial Services,2008-05-07,68.46,2008-07-09,71.31,63.33637544922855,55.22670858022018,2008-07-16,65.94,2008-10-09,39.28,-0.40430694570821957,123.96,2008-10-09,90.7,-0.2683123588254275,0.1359945868827921
FE,Utilities,2008-05-02,79.02,2008-07-11,84.0,72.72387954060638,62.613700663067306,2008-07-18,76.69,2008-10-13,53.49,-0.3025166253748859,125.98,2008-10-13,101.35,-0.19550722336878879,0.1070094020060971
PWR,Industrials,2008-05-19,31.35,2008-07-17,34.22,68.495445663227,60.72241962962079,2008-07-24,30.32,2008-10-17,21.12,-0.30343007915567277,125.51,2008-10-17,93.21,-0.2573500119512391,0.046080067204433695
EW,Healthcare,2008-04-23,4.7775,2008-07-18,5.545,86.9264225632567,76.86749055652504,2008-07-25,5.1817,2008-10-20,4.435,-0.14410328656618498,125.48,2008-10-20,98.81,-0.2125438316863245,-0.06844054512013953
APH,Technology,2008-05-02,6.03,2008-07-18,6.51,75.10028047597243,68.21383844082354,2008-07-25,6.04,2008-10-20,3.45,-0.4288079470198676,125.48,2008-10-20,98.81,-0.2125438316863245,0.21626411533354306
HAS,Consumer Cyclical,2008-05-02,36.65,2008-07-25,41.35,73.49954973063637,66.31870753369085,2008-08-01,38.76,2008-10-27,25.95,-0.33049535603715163,126.16,2008-10-27,83.95,-0.334575142675967,-0.004079786638815364
UNP,Industrials,2008-05-19,39.91,2008-07-31,42.13,75.0425409185296,66.22545472433364,2008-08-07,40.66,2008-10-31,33.39,-0.17879980324643374,127.01,2008-10-31,96.83,-0.2376190851114086,-0.05881928186497487
SBAC,Real Estate,2008-05-19,36.97,2008-07-31,38.5,75.07957348036027,62.49495481468733,2008-08-07,34.66,2008-10-31,20.99,-0.39440276976341604,127.01,2008-10-31,96.83,-0.2376190851114086,0.15678368465200743
EW,Healthcare,2008-06-05,5.0759,2008-08-06,5.38,81.69774901400594,55.3210654406151,2008-08-13,4.8967,2008-11-06,4.3942,-0.10262013192558261,128.57,2008-11-06,90.86,-0.2933032589250991,-0.1906831269995165
TECH,Healthcare,2008-05-29,19.86,2008-08-07,20.73,76.66845976537857,55.942709294119275,2008-08-14,20.42,2008-11-07,17.31,-0.15230166503428022,129.54,2008-11-07,93.86,-0.2754361587154547,-0.12313449368117446
UNP,Industrials,2008-05-19,39.91,2008-08-08,41.8,75.0425409185296,63.61588924212883,2008-08-15,38.44,2008-11-10,31.25,-0.187044745057232,130.17,2008-11-10,92.63,-0.2883921026350157,-0.10134735757778368
ODFL,Industrials,2008-07-22,5.7,2008-08-11,5.94,70.33593248512985,64.36610457046413,2008-08-18,5.33,2008-11-11,3.73,-0.300187617260788,128.39,2008-11-11,89.77,-0.30080224316535553,-0.0006146259045675118
NSC,Industrials,2008-05-19,66.74,2008-08-11,74.5,67.40842309118185,60.23847086560342,2008-08-18,69.45,2008-11-11,54.73,-0.21195104391648678,128.39,2008-11-11,89.77,-0.30080224316535553,-0.08885119924886875
HAS,Consumer Cyclical,2008-06-10,39.63,2008-08-11,41.68,66.85780577970985,59.10387823967737,2008-08-18,38.49,2008-11-11,26.39,-0.3143673681475708,128.39,2008-11-11,89.77,-0.30080224316535553,0.013565124982215293
JBHT,Industrials,2008-07-23,38.58,2008-08-11,40.25,67.90436412255089,61.64976559896091,2008-08-18,38.63,2008-11-11,25.34,-0.34403313486927267,128.39,2008-11-11,89.77,-0.30080224316535553,0.04323089170391714
ROST,Consumer Cyclical,2008-05-15,9.24,2008-08-11,10.36,71.75805275766572,57.59926372780894,2008-08-18,9.74,2008-11-11,6.93,-0.2885010266940452,128.39,2008-11-11,89.77,-0.30080224316535553,-0.012301216471310328
STE,Healthcare,2008-06-05,33.09,2008-08-18,38.18,72.00906880149738,65.93308913103898,2008-08-25,36.37,2008-11-18,30.94,-0.14929887269727793,127.02,2008-11-18,87.08,-0.3144386710754212,-0.1651397983781433
APH,Technology,2008-06-17,6.25,2008-08-18,6.54,66.00230742267968,56.299083950358884,2008-08-25,5.93,2008-11-18,2.73,-0.5396290050590219,127.02,2008-11-18,87.08,-0.3144386710754212,0.22519033398360067
WAB,Industrials,2008-06-25,25.75,2008-08-19,29.5,71.18846908553596,64.4812429778024,2008-08-26,28.24,2008-11-19,15.36,-0.4560906515580736,127.39,2008-11-19,81.5,-0.3602323573278907,0.09585829423018288
MKC,Consumer Defensive,2008-06-05,19.07,2008-08-27,21.0,62.32649243186612,53.80202837448704,2008-09-04,20.02,2008-11-28,14.89,-0.25624375624375617,124.03,2008-11-28,90.09,-0.2736434733532209,-0.017399717109464752
WAB,Industrials,2008-07-22,29.12,2008-09-02,30.38,72.47929469458293,58.1497409557499,2008-09-09,25.34,2008-12-03,18.92,-0.2533543804262035,123.22,2008-12-03,87.32,-0.29134880701184873,-0.037994426585645225
AZO,Consumer Cyclical,2008-07-23,133.59,2008-09-02,143.8,65.94709308287007,59.060451298819494,2008-09-09,135.01,2008-12-03,115.8,-0.14228575661062137,123.22,2008-12-03,87.32,-0.29134880701184873,-0.14906305040122736
WELL,Real Estate,2008-07-23,49.98,2008-09-02,52.6,63.10955227014726,55.0061888154094,2008-09-09,47.3,2008-12-03,35.14,-0.2570824524312896,123.22,2008-12-03,87.32,-0.29134880701184873,-0.034266354580559155
EL,Consumer Defensive,2008-08-15,26.02,2008-09-04,27.38,74.3069796906354,65.40982289746754,2008-09-11,26.42,2008-12-05,14.06,-0.4678274034822104,125.51,2008-12-05,87.93,-0.2994183730380049,0.16840903044420552
PTC,Technology,2008-07-23,20.17,2008-09-09,21.24,62.40436102732694,52.90176685834876,2008-09-16,19.56,2008-12-10,12.06,-0.3834355828220858,122.1,2008-12-10,90.11,-0.261998361998362,0.12143722082372377
